"删维组别","样例编号","是否还能唯一归类","候选场景集合"
"去掉触发位置边界后的判定结果","EX001","是","S3"
"去掉资源所处状态后的判定结果","EX001","是","S3"
"去掉隔离跨越度后的判定结果","EX001","否","S2|S3"
"去掉触发位置边界后的判定结果","EX002","是","S3"
"去掉资源所处状态后的判定结果","EX002","是","S3"
"去掉隔离跨越度后的判定结果","EX002","否","S2|S3"
"去掉触发位置边界后的判定结果","EX003","是","S3"
"去掉资源所处状态后的判定结果","EX003","是","S3"
"去掉隔离跨越度后的判定结果","EX003","否","S2|S3"
"去掉触发位置边界后的判定结果","EX004","是","S3"
"去掉资源所处状态后的判定结果","EX004","是","S3"
"去掉隔离跨越度后的判定结果","EX004","否","S2|S3"
"去掉触发位置边界后的判定结果","EX005","是","S3"
"去掉资源所处状态后的判定结果","EX005","是","S3"
"去掉隔离跨越度后的判定结果","EX005","否","S2|S3"
"去掉触发位置边界后的判定结果","EX006","是","S3"
"去掉资源所处状态后的判定结果","EX006","是","S3"
"去掉隔离跨越度后的判定结果","EX006","否","S2|S3"
"去掉触发位置边界后的判定结果","EX007","是","S3"
"去掉资源所处状态后的判定结果","EX007","是","S3"
"去掉隔离跨越度后的判定结果","EX007","否","S2|S3"
"去掉触发位置边界后的判定结果","EX008","是","S3"
"去掉资源所处状态后的判定结果","EX008","是","S3"
"去掉隔离跨越度后的判定结果","EX008","否","S2|S3"
"去掉触发位置边界后的判定结果","EX009","是","S3"
"去掉资源所处状态后的判定结果","EX009","是","S3"
"去掉隔离跨越度后的判定结果","EX009","否","S2|S3"
"去掉触发位置边界后的判定结果","EX010","是","S3"
"去掉资源所处状态后的判定结果","EX010","是","S3"
"去掉隔离跨越度后的判定结果","EX010","否","S2|S3"
"去掉触发位置边界后的判定结果","EX011","是","S3"
"去掉资源所处状态后的判定结果","EX011","是","S3"
"去掉隔离跨越度后的判定结果","EX011","否","S2|S3"
"去掉触发位置边界后的判定结果","EX012","是","S3"
"去掉资源所处状态后的判定结果","EX012","是","S3"
"去掉隔离跨越度后的判定结果","EX012","否","S2|S3"
"去掉触发位置边界后的判定结果","EX013","是","S3"
"去掉资源所处状态后的判定结果","EX013","是","S3"
"去掉隔离跨越度后的判定结果","EX013","否","S2|S3"
"去掉触发位置边界后的判定结果","EX014","是","S3"
"去掉资源所处状态后的判定结果","EX014","是","S3"
"去掉隔离跨越度后的判定结果","EX014","否","S2|S3"
"去掉触发位置边界后的判定结果","EX015","是","S3"
"去掉资源所处状态后的判定结果","EX015","是","S3"
"去掉隔离跨越度后的判定结果","EX015","否","S2|S3"
"去掉触发位置边界后的判定结果","EX016","是","S2"
"去掉资源所处状态后的判定结果","EX016","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX016","否","S1|S2"
"去掉触发位置边界后的判定结果","EX017","是","S2"
"去掉资源所处状态后的判定结果","EX017","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX017","否","S1|S2"
"去掉触发位置边界后的判定结果","EX018","是","S2"
"去掉资源所处状态后的判定结果","EX018","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX018","否","S1|S2"
"去掉触发位置边界后的判定结果","EX019","是","S2"
"去掉资源所处状态后的判定结果","EX019","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX019","否","S1|S2"
"去掉触发位置边界后的判定结果","EX020","是","S2"
"去掉资源所处状态后的判定结果","EX020","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX020","否","S1|S2"
"去掉触发位置边界后的判定结果","EX021","是","S2"
