run_id,timestamp_utc,seed,sample_size,sample_scope,case_id,scenario,fault_type,selection_order,selection_order_in_scenario,case_path,case_kind,panic_strategy,supported_on_host,executed,success,triggered,panic_detected,memory_error_detected,build_failed,timeout,exit_code,exit_code_hex,termination_signal,termination_kind,duration_sec,log_path,error_reason,platform,python_version,cargo_path,cargo_target,cargo_linker
tests__unsafe-bugs__double-free_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unsafe-bugs__double-free,S1,double_free,1,1,testcases/tests__unsafe-bugs__double-free,cargo_bin,unwind,True,True,False,True,False,True,False,False,3221226356,0xC0000374,,heap_corruption,1.117773,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unsafe-bugs__double-free_unwind.log,heap_corruption,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unsafe-bugs__double-free_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unsafe-bugs__double-free,S1,double_free,1,1,testcases/tests__unsafe-bugs__double-free,cargo_bin,abort,True,True,False,True,False,True,False,False,3221226356,0xC0000374,,heap_corruption,1.12261,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unsafe-bugs__double-free_abort.log,heap_corruption,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__array_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__array,S2,unit_test,2,1,testcases/tests__unit-tests__array,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.108224,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__array_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__array_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__array,S2,unit_test,2,1,testcases/tests__unit-tests__array,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.101085,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__array_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__safe-bugs__integer-overflow_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__safe-bugs__integer-overflow,S2,integer_overflow,3,2,testcases/tests__safe-bugs__integer-overflow,cargo_bin,unwind,True,True,False,True,True,False,False,False,101,0x00000065,,panic_unwind,0.054248,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__safe-bugs__integer-overflow_unwind.log,panic_unwind,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__safe-bugs__integer-overflow_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__safe-bugs__integer-overflow,S2,integer_overflow,3,2,testcases/tests__safe-bugs__integer-overflow,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.064324,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__safe-bugs__integer-overflow_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__assignment_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__assignment,S2,unit_test,4,3,testcases/tests__unit-tests__assignment,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.093386,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__assignment_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__assignment_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__assignment,S2,unit_test,4,3,testcases/tests__unit-tests__assignment,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.089071,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__assignment_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__widen-narrow_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__widen-narrow,S2,unit_test,5,4,testcases/tests__unit-tests__widen-narrow,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.095805,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__widen-narrow_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__widen-narrow_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__widen-narrow,S2,unit_test,5,4,testcases/tests__unit-tests__widen-narrow,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.095638,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__widen-narrow_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
