true_label,pred_label,count,data_source,method_note
S1,S1,4,"testcases/testcase_categories.csv","full 模型"
S1,S2,0,"testcases/testcase_categories.csv","full 模型"
S1,S3,0,"testcases/testcase_categories.csv","full 模型"
S1,S4,0,"testcases/testcase_categories.csv","full 模型"
S2,S1,1,"testcases/testcase_categories.csv","full 模型"
S2,S2,52,"testcases/testcase_categories.csv","full 模型"
S2,S3,0,"testcases/testcase_categories.csv","full 模型"
S2,S4,13,"testcases/testcase_categories.csv","full 模型"
S3,S1,1,"testcases/testcase_categories.csv","full 模型"
S3,S2,0,"testcases/testcase_categories.csv","full 模型"
S3,S3,15,"testcases/testcase_categories.csv","full 模型"
S3,S4,0,"testcases/testcase_categories.csv","full 模型"
S4,S1,0,"testcases/testcase_categories.csv","full 模型"
S4,S2,9,"testcases/testcase_categories.csv","full 模型"
S4,S3,0,"testcases/testcase_categories.csv","full 模型"
S4,S4,5,"testcases/testcase_categories.csv","full 模型"
